FECHA,COVID_LLAMADOS,CASOS_SOSPECHOSOS,CASOS_DESCARTADOS_COVID,CASOS_TRASLADADOS,CASOS_DERIVADOS
08MAY2020:00:00:00,195,31,164,1,18
09MAY2020:00:00:00,259,182,77,4,13
10MAY2020:00:00:00,156,73,83,1,4
11MAY2020:00:00:00,267,25,242,5,11
12MAY2020:00:00:00,254,26,228,1,17
13MAY2020:00:00:00,240,18,222,0,9
14MAY2020:00:00:00,359,154,205,2,12
15MAY2020:00:00:00,242,21,221,1,6
16MAY2020:00:00:00,197,114,83,4,9
17MAY2020:00:00:00,100,34,66,1,12
18MAY2020:00:00:00,418,119,299,3,23
19MAY2020:00:00:00,337,33,304,0,19
20MAY2020:00:00:00,357,69,288,1,19
21MAY2020:00:00:00,506,136,370,2,15
22MAY2020:00:00:00,523,31,492,2,17
23MAY2020:00:00:00,221,65,156,1,9
24MAY2020:00:00:00,410,221,189,9,15
25MAY2020:00:00:00,367,186,181,8,10
26MAY2020:00:00:00,399,38,361,4,26
27MAY2020:00:00:00,481,71,410,3,21
28MAY2020:00:00:00,611,239,372,1,19
29MAY2020:00:00:00,465,98,367,0,14
30MAY2020:00:00:00,194,32,162,4,11
31MAY2020:00:00:00,280,157,123,7,8
01JUN2020:00:00:00,395,23,372,4,18
02JUN2020:00:00:00,436,24,412,6,12
03JUN2020:00:00:00,417,33,384,3,15
04JUN2020:00:00:00,418,27,391,2,12
05JUN2020:00:00:00,411,34,377,3,14
06JUN2020:00:00:00,280,58,222,2,20
07JUN2020:00:00:00,451,247,204,15,19
08JUN2020:00:00:00,517,52,465,2,23
09JUN2020:00:00:00,545,129,416,5,16
10JUN2020:00:00:00,659,136,523,2,23
11JUN2020:00:00:00,510,92,418,4,17
12JUN2020:00:00:00,716,189,527,1,20
13JUN2020:00:00:00,238,61,177,1,15
14JUN2020:00:00:00,257,39,218,1,8
15JUN2020:00:00:00,292,78,214,4,10
16JUN2020:00:00:00,38,6,32,0,5
17JUN2020:00:00:00,708,49,659,4,29
18JUN2020:00:00:00,54,3,51,0,4
23JUN2020:00:00:00,775,70,705,5,27
24JUN2020:00:00:00,754,70,684,5,22
25JUN2020:00:00:00,723,84,639,1,24
26JUN2020:00:00:00,680,92,588,3,23
27JUN2020:00:00:00,492,185,307,2,11
28JUN2020:00:00:00,284,60,224,4,15
29JUN2020:00:00:00,702,87,615,1,20
30JUN2020:00:00:00,620,45,575,2,19
01JUL2020:00:00:00,670,129,541,2,24
02JUL2020:00:00:00,611,58,553,1,29
03JUL2020:00:00:00,510,27,483,0,11
04JUL2020:00:00:00,367,47,320,5,14
05JUL2020:00:00:00,345,52,293,1,20
06JUL2020:00:00:00,711,146,565,1,20
07JUL2020:00:00:00,512,92,420,1,12
08JUL2020:00:00:00,547,36,511,5,19
09JUL2020:00:00:00,304,41,263,1,6
10JUL2020:00:00:00,219,22,197,1,7
11JUL2020:00:00:00,372,126,246,1,5
12JUL2020:00:00:00,259,21,238,1,4
13JUL2020:00:00:00,677,42,635,0,20
14JUL2020:00:00:00,552,115,437,2,15
15JUL2020:00:00:00,133,58,75,1,14
16JUL2020:00:00:00,151,79,72,1,19
17JUL2020:00:00:00,151,34,117,4,10
18JUL2020:00:00:00,42,41,1,1,12
19JUL2020:00:00:00,52,35,17,5,10
20JUL2020:00:00:00,100,59,41,3,15
21JUL2020:00:00:00,65,65,0,3,12
22JUL2020:00:00:00,127,126,1,2,14
23JUL2020:00:00:00,30,29,1,1,11
24JUL2020:00:00:00,112,112,0,2,7
25JUL2020:00:00:00,22,21,1,0,2
26JUL2020:00:00:00,16,16,0,0,2
27JUL2020:00:00:00,96,96,0,3,8
28JUL2020:00:00:00,35,35,0,0,9
29JUL2020:00:00:00,29,28,1,1,17
30JUL2020:00:00:00,390,29,361,1,9
31JUL2020:00:00:00,582,98,484,1,8
01AUG2020:00:00:00,343,61,282,0,9
02AUG2020:00:00:00,381,24,357,1,6
03AUG2020:00:00:00,787,39,748,1,12
04AUG2020:00:00:00,764,41,723,4,17
05AUG2020:00:00:00,735,33,702,0,19
06AUG2020:00:00:00,652,30,622,2,12
07AUG2020:00:00:00,629,28,601,2,8
08AUG2020:00:00:00,292,17,275,0,3
09AUG2020:00:00:00,331,23,308,0,3
10AUG2020:00:00:00,816,42,774,2,15
11AUG2020:00:00:00,744,128,616,5,7
12AUG2020:00:00:00,726,70,656,1,11
13AUG2020:00:00:00,721,34,687,0,12
14AUG2020:00:00:00,690,29,661,3,10
15AUG2020:00:00:00,340,35,305,0,3
16AUG2020:00:00:00,351,29,322,0,6
17AUG2020:00:00:00,370,28,342,0,5
18AUG2020:00:00:00,677,29,648,2,8
19AUG2020:00:00:00,610,30,580,1,10
20AUG2020:00:00:00,712,39,673,1,10
21AUG2020:00:00:00,648,33,615,3,15
22AUG2020:00:00:00,373,60,313,1,6
23AUG2020:00:00:00,362,27,335,0,5
24AUG2020:00:00:00,846,96,750,1,8
25AUG2020:00:00:00,673,39,634,3,16
26AUG2020:00:00:00,717,41,676,1,14
27AUG2020:00:00:00,654,35,619,4,16
28AUG2020:00:00:00,689,35,654,3,5
29AUG2020:00:00:00,399,28,371,1,7
30AUG2020:00:00:00,410,45,365,0,5
31AUG2020:00:00:00,714,27,687,3,9
01SEP2020:00:00:00,578,35,543,3,11
02SEP2020:00:00:00,627,36,591,1,9
03SEP2020:00:00:00,642,31,611,2,8
04SEP2020:00:00:00,613,40,573,3,16
05SEP2020:00:00:00,270,23,247,0,6
06SEP2020:00:00:00,213,13,200,0,2
07SEP2020:00:00:00,781,37,744,3,11
08SEP2020:00:00:00,711,37,674,2,12
09SEP2020:00:00:00,623,27,596,1,13
10SEP2020:00:00:00,520,19,501,1,6
11SEP2020:00:00:00,502,23,479,1,2
12SEP2020:00:00:00,300,27,273,0,8
13SEP2020:00:00:00,334,34,300,0,9
14SEP2020:00:00:00,540,24,516,0,8
15SEP2020:00:00:00,516,21,495,1,7
16SEP2020:00:00:00,477,32,445,5,8
17SEP2020:00:00:00,480,28,452,1,11
18SEP2020:00:00:00,490,21,469,3,7
19SEP2020:00:00:00,193,21,172,0,5
20SEP2020:00:00:00,189,18,171,0,1
21SEP2020:00:00:00,454,24,430,1,7
22SEP2020:00:00:00,479,34,445,2,12
23SEP2020:00:00:00,486,37,449,3,13
24SEP2020:00:00:00,424,20,404,2,5
25SEP2020:00:00:00,459,23,436,3,10
26SEP2020:00:00:00,246,30,216,0,4
27SEP2020:00:00:00,298,157,141,0,6
28SEP2020:00:00:00,455,31,424,3,8
29SEP2020:00:00:00,442,46,396,2,5
30SEP2020:00:00:00,432,20,412,0,11
01OCT2020:00:00:00,453,62,391,0,5
02OCT2020:00:00:00,366,23,343,1,8
03OCT2020:00:00:00,194,38,156,0,2
04OCT2020:00:00:00,241,70,171,0,4
05OCT2020:00:00:00,431,23,408,0,11
06OCT2020:00:00:00,395,14,381,2,4
07OCT2020:00:00:00,383,22,361,1,8
08OCT2020:00:00:00,399,20,379,2,5
09OCT2020:00:00:00,401,22,379,0,5
10OCT2020:00:00:00,196,23,173,0,3
11OCT2020:00:00:00,205,18,187,0,0
12OCT2020:00:00:00,210,32,178,0,2
13OCT2020:00:00:00,400,15,385,2,3
14OCT2020:00:00:00,401,20,381,0,6
15OCT2020:00:00:00,400,20,380,1,6
16OCT2020:00:00:00,393,27,366,0,7
17OCT2020:00:00:00,167,9,158,0,2
18OCT2020:00:00:00,118,19,99,0,2
19OCT2020:00:00:00,382,20,362,0,3
20OCT2020:00:00:00,320,13,307,1,4
21OCT2020:00:00:00,320,17,303,1,7
