FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
04062023    11  12.0   52  1024.2    0    0     BOLIVAR AERO                                        
04062023    12  14.2   40  1024.3  230   15     BOLIVAR AERO                                        
04062023    13  14.6   41  1024.4  230   11     BOLIVAR AERO                                        
04062023    14  15.4   33  1024.4  230   15     BOLIVAR AERO                                        
04062023    15  14.8   30  1024.0  230   11     BOLIVAR AERO                                        
04062023    16  15.6   34  1024.2    0    0     BOLIVAR AERO                                        
04062023    17  15.4   33  1024.9    0    0     BOLIVAR AERO                                        
04062023    18  12.4   44  1025.2    0    0     BOLIVAR AERO                                        
04062023    19  10.0   48  1025.8    0    0     BOLIVAR AERO                                        
04062023    20   8.2   57  1026.3    0    0     BOLIVAR AERO                                        
04062023    21   5.4   70  1026.7    0    0     BOLIVAR AERO                                        
04062023     0  16.7   93  1015.2   50    4     BUENOS AIRES OBSERVATORIO                           
04062023     1  16.9   92  1015.0   50    6     BUENOS AIRES OBSERVATORIO                           
04062023     2  16.4   93  1014.8    0    0     BUENOS AIRES OBSERVATORIO                           
04062023     3  16.2   94  1015.3    0    0     BUENOS AIRES OBSERVATORIO                           
04062023     4  15.9   94  1015.4  180    7     BUENOS AIRES OBSERVATORIO                           
04062023     5  16.3   91  1016.2  180    6     BUENOS AIRES OBSERVATORIO                           
04062023     6  16.3   93  1016.6  230    4     BUENOS AIRES OBSERVATORIO                           
04062023     7  16.2   94  1017.1  180    6     BUENOS AIRES OBSERVATORIO                           
04062023     8  16.3   93  1018.8  180    6     BUENOS AIRES OBSERVATORIO                           
04062023     9  15.9   89  1020.3  230   20     BUENOS AIRES OBSERVATORIO                           
04062023    10  17.0   76  1021.6  180   11     BUENOS AIRES OBSERVATORIO                           
04062023    11  17.0   70  1022.3  180   11     BUENOS AIRES OBSERVATORIO                           
04062023    12  18.5   53  1022.4  140   17     BUENOS AIRES OBSERVATORIO                           
04062023    13  19.4   44  1022.2  140   17     BUENOS AIRES OBSERVATORIO                           
04062023    14  19.1   47  1022.1  140    9     BUENOS AIRES OBSERVATORIO                           
04062023    15  18.6   47  1022.3  180   13     BUENOS AIRES OBSERVATORIO                           
04062023    16  18.0   50  1023.0  200   13     BUENOS AIRES OBSERVATORIO                           
04062023    17  17.1   49  1023.4  140    7     BUENOS AIRES OBSERVATORIO                           
04062023    18  15.6   57  1023.4  140    4     BUENOS AIRES OBSERVATORIO                           
04062023    19  14.6   58  1024.0  200    6     BUENOS AIRES OBSERVATORIO                           
04062023    20  13.4   61  1024.8  180    4     BUENOS AIRES OBSERVATORIO                           
04062023    21  12.6   61  1025.0  180    4     BUENOS AIRES OBSERVATORIO                           
04062023    22  11.7   60  1025.8  180    4     BUENOS AIRES OBSERVATORIO                           
04062023    23  10.8   66  1026.5  160    6     BUENOS AIRES OBSERVATORIO                           
04062023     6  15.6   98  1017.1  180    7     CAMPO DE MAYO AERO                                  
04062023     7  15.5   97  1017.9  200    9     CAMPO DE MAYO AERO                                  
04062023     8  15.6   97  1019.4  190   11     CAMPO DE MAYO AERO                                  
04062023     9  14.9   93  1020.9  190   20     CAMPO DE MAYO AERO                                  
04062023    10  15.7   84  1021.9  180   15     CAMPO DE MAYO AERO                                  
04062023    11  16.5   73  1022.8  190   17     CAMPO DE MAYO AERO                                  
04062023    12  17.3   62  1023.2  180   19     CAMPO DE MAYO AERO                                  
04062023    13  18.3   52  1022.8  180   19     CAMPO DE MAYO AERO                                  
04062023    14  18.2   51  1022.6  160   19     CAMPO DE MAYO AERO                                  
04062023    15  17.4   51  1023.0  190   17     CAMPO DE MAYO AERO                                  
04062023    16  17.3   54  1023.4  200   17     CAMPO DE MAYO AERO                                  
04062023    17  16.3   49  1024.0  180   13     CAMPO DE MAYO AERO                                  
04062023    18  14.1   65  1023.7  210    4     CAMPO DE MAYO AERO                                  
04062023    19  12.9   66  1024.9  210    6     CAMPO DE MAYO AERO                                  
04062023    20  11.5   68  1025.4  210    6     CAMPO DE MAYO AERO                                  
04062023    21   9.5   73  1025.8  210    4     CAMPO DE MAYO AERO                                  
04062023     0  16.2   82  1013.6   90    2     CATAMARCA AERO                                      
04062023     1  15.4   86  1013.8  320    7     CATAMARCA AERO                                      
04062023     2  15.4   86  1013.7  320    6     CATAMARCA AERO                                      
04062023     3  15.4   86  1013.9  360    4     CATAMARCA AERO                                      
04062023     4  15.4   86  1014.0   20    7     CATAMARCA AERO                                      
04062023     5  14.8   90  1014.6   20    6     CATAMARCA AERO                                      
04062023     6  15.6   86  1015.3   20    6     CATAMARCA AERO                                      
04062023     7  15.6   87  1016.7   20    4     CATAMARCA AERO                                      
04062023     8  15.4   90  1018.3   50    4     CATAMARCA AERO                                      
04062023     9  16.2   88  1019.6   50    7     CATAMARCA AERO                                      
04062023    10  17.2   83  1020.4  360    6     CATAMARCA AERO                                      
04062023    11  17.6   84  1021.6    0    0     CATAMARCA AERO                                      
04062023    12  19.2   71  1021.8  140    6     CATAMARCA AERO                                      
04062023    13  21.4   63  1021.4  180   11     CATAMARCA AERO                                      
04062023    14  22.2   64  1020.9  180    9     CATAMARCA AERO                                      
04062023    15  22.2   58  1020.1  270    9     CATAMARCA AERO                                      
04062023    16  22.2   58  1019.9    0    0     CATAMARCA AERO                                      
04062023    17  22.2   61  1020.0   90    9     CATAMARCA AERO                                      
04062023    18  18.6   85  1021.0   90   15     CATAMARCA AERO                                      
04062023    19  18.2   89  1021.0   50    6     CATAMARCA AERO                                      
04062023    20  17.4   88  1021.3    0    0     CATAMARCA AERO                                      
04062023    21  17.4   90  1021.5   90    4     CATAMARCA AERO                                      
04062023    22  17.8   92  1021.9   50    7     CATAMARCA AERO                                      
04062023    23  17.8   92  1022.1   50    4     CATAMARCA AERO                                      
04062023     0  21.2   89  1012.4   90    4     CERES AERO                                          
04062023     1  20.8   91  1012.2   90    4     CERES AERO                                          
04062023     2  21.0   90  1012.7   90    4     CERES AERO                                          
04062023     3  20.6   91  1012.6   90    4     CERES AERO                                          
04062023     4  20.2   91  1012.9   90    4     CERES AERO                                          
04062023     5  20.4   90  1013.1   90    4     CERES AERO                                          
04062023     6  20.3   90  1013.7    0    0     CERES AERO                                          
04062023     7  20.1   90  1014.3    0    0     CERES AERO                                          
04062023     8  20.1   90  1015.6   90    4     CERES AERO                                          
04062023     9  20.2   89  1017.0  180    4     CERES AERO                                          
04062023    10  21.2   79  1017.5  180    4     CERES AERO                                          
04062023    11  21.4   86  1018.7  180    4     CERES AERO                                          
04062023    12  23.9   80  1018.1  140    4     CERES AERO                                          
04062023    13  26.2   74  1017.8  140    9     CERES AERO                                          
04062023    14  24.1   75  1018.3  180   24     CERES AERO                                          
04062023    15  21.0   86  1018.4  160   33     CERES AERO                                          
04062023    16  21.7   85  1018.9  160   24     CERES AERO                                          
04062023    17  21.4   87  1019.2  160   15     CERES AERO                                          
04062023    18  20.8   87  1020.0  160   15     CERES AERO                                          
04062023    19  19.2   92  1020.9  180   24     CERES AERO                                          
04062023    20  18.7   92  1021.5  160   24     CERES AERO                                          
04062023    21  18.7   88  1021.3  160   24     CERES AERO                                          
04062023    22  18.4   89  1021.4  160   24     CERES AERO                                          
04062023    23  18.8   86  1021.6  180   15     CERES AERO                                          
04062023     6  18.8   78  1015.1    0    0     CHAMICAL AERO                                       
04062023     7  17.6   88  1016.6  140    7     CHAMICAL AERO                                       
04062023     8  16.9   91  1017.7  140    4     CHAMICAL AERO                                       
04062023     9  17.0   92  1019.2    0    0     CHAMICAL AERO                                       
04062023    10  21.2   60  1020.0  140   11     CHAMICAL AERO                                       
04062023    11  21.6   59  1020.6  140   15     CHAMICAL AERO                                       
04062023    12  19.6   68  1021.3  140   11     CHAMICAL AERO                                       
04062023    13  19.4   71  1021.2  140   11     CHAMICAL AERO                                       
04062023    14  21.0   64  1020.9    0    0     CHAMICAL AERO                                       
04062023    15  20.4   64  1020.2  140    7     CHAMICAL AERO                                       
04062023    16  20.2   62  1020.6  140    7     CHAMICAL AERO                                       
04062023    17  20.2   57  1020.5  140   15     CHAMICAL AERO                                       
04062023    18  19.4   60  1021.3  140   11     CHAMICAL AERO                                       
04062023    19  18.4   65  1021.4    0    0     CHAMICAL AERO                                       
04062023    20  16.2   72  1022.2  180    4     CHAMICAL AERO                                       
04062023    21  16.8   71  1023.0  140    4     CHAMICAL AERO                                       
04062023     0   3.6   66  1020.6  270   41     CHAPELCO AERO                                       
04062023     1   3.8   63  1021.1  270   41     CHAPELCO AERO                                       
04062023     2   4.0   58  1021.4  270   26     CHAPELCO AERO                                       
04062023     3   3.2   75  1022.8  290   13     CHAPELCO AERO                                       
04062023     4   3.0   75  1022.5  270    9     CHAPELCO AERO                                       
04062023     5   3.2   69  1022.9  310    7     CHAPELCO AERO                                       
04062023     6   2.6   71  1022.9  270   22     CHAPELCO AERO                                       
04062023     7   2.4   70  1024.1  250   24     CHAPELCO AERO                                       
04062023     8    .4   85  1024.7  230   17     CHAPELCO AERO                                       
04062023     9   -.6   92  1025.8    0    0     CHAPELCO AERO                                       
04062023    10    .2   93  1026.1    0    0     CHAPELCO AERO                                       
04062023    11   2.0   83  1025.9    0    0     CHAPELCO AERO                                       
04062023    12   3.8   75  1025.6    0    0     CHAPELCO AERO                                       
04062023    13   5.6   61  1024.1  250    9     CHAPELCO AERO                                       
04062023    14   7.4   56  1022.6  250    9     CHAPELCO AERO                                       
04062023    15   8.2   48  1022.5   70   11     CHAPELCO AERO                                       
04062023    16   9.6   42  1021.4    0    0     CHAPELCO AERO                                       
04062023    17   8.2   57  1021.4    0    0     CHAPELCO AERO                                       
04062023    18   7.0   66  1021.0    0    0     CHAPELCO AERO                                       
04062023    19   4.4   76  1021.6    0    0     CHAPELCO AERO                                       
04062023    20   2.8   87  1022.4  250    9     CHAPELCO AERO                                       
04062023    21   1.4   86  1022.5  270    9     CHAPELCO AERO                                       
04062023    22   1.2   89  1022.7  270    7     CHAPELCO AERO                                       
04062023    23    .8   89  1022.7    0    0     CHAPELCO AERO                                       
04062023     9  13.2   58  1021.4    0    0     CHEPES                                              
04062023    15  16.8   39  1023.2  230    9     CHEPES                                              
04062023    21  14.2   34  1023.8    0    0     CHEPES                                              
04062023     9  15.0   87  1570.0  320    4     CHILECITO AERO                                      
04062023    15  19.0   68  1577.0  140    4     CHILECITO AERO                                      
04062023    21  14.4   90  1577.0  180    4     CHILECITO AERO                                      
04062023     9   1.4   76  1025.8    0    0     CIPOLLETTI                                          
04062023    21   7.7   59  1023.2    0    0     CIPOLLETTI                                          
04062023     0   9.2   53  1002.8  270   31     COMODORO RIVADAVIA AERO                             
04062023     1   9.4   45  1003.5  290   48     COMODORO RIVADAVIA AERO                             
04062023     2   9.6   43  1005.7  270   44     COMODORO RIVADAVIA AERO                             
04062023     3   8.3   49  1007.3  270   35     COMODORO RIVADAVIA AERO                             
04062023     4   8.1   47  1008.8  270   39     COMODORO RIVADAVIA AERO                             
04062023     5   8.0   47  1009.9  270   35     COMODORO RIVADAVIA AERO                             
04062023     6   7.3   49  1011.4  270   39     COMODORO RIVADAVIA AERO                             
04062023     7   6.6   52  1013.3  280   35     COMODORO RIVADAVIA AERO                             
04062023     8   7.4   46  1014.9  290   30     COMODORO RIVADAVIA AERO                             
04062023     9   6.6   52  1016.6  280   26     COMODORO RIVADAVIA AERO                             
04062023    10   6.6   53  1017.7  280   31     COMODORO RIVADAVIA AERO                             
04062023    11   8.3   49  1018.3  270   22     COMODORO RIVADAVIA AERO                             
04062023    12  10.6   43  1018.9  280   20     COMODORO RIVADAVIA AERO                             
04062023    13  12.1   39  1018.9  270   22     COMODORO RIVADAVIA AERO                             
04062023    14  12.4   40  1017.9  280   22     COMODORO RIVADAVIA AERO                             
04062023    15  12.5   44  1017.8  280   20     COMODORO RIVADAVIA AERO                             
04062023    16  12.1   45  1018.2  290   15     COMODORO RIVADAVIA AERO                             
04062023    17  11.9   48  1018.8  330   13     COMODORO RIVADAVIA AERO                             
04062023    18   9.0   59  1018.4  330   11     COMODORO RIVADAVIA AERO                             
04062023    19   5.0   69  1018.2  360    6     COMODORO RIVADAVIA AERO                             
04062023    20   4.4   64  1017.0  320    9     COMODORO RIVADAVIA AERO                             
04062023    21   3.5   69  1016.8  320    9     COMODORO RIVADAVIA AERO                             
04062023    22   2.5   81  1015.7  350    7     COMODORO RIVADAVIA AERO                             
04062023    23   5.5   64  1015.0  320    9     COMODORO RIVADAVIA AERO                             
04062023     0  19.6   95  1015.2   60    6     CONCORDIA AERO                                      
04062023     1  19.9   92  1015.0   20   11     CONCORDIA AERO                                      
04062023     2  20.4   90  1015.0   20    9     CONCORDIA AERO                                      
04062023     3  20.3   89  1015.4   20    9     CONCORDIA AERO                                      
04062023     4  20.4   90  1015.5   10    7     CONCORDIA AERO                                      
04062023     5  20.0   92  1015.6    0    0     CONCORDIA AERO                                      
04062023     6  19.6   95  1015.5   30    4     CONCORDIA AERO                                      
04062023     7  19.2   93  1016.4   40    4     CONCORDIA AERO                                      
04062023     8  19.0   96  1017.1   30    9     CONCORDIA AERO                                      
04062023     9  20.4   89  1017.8  360    7     CONCORDIA AERO                                      
04062023    10  21.0   87  1019.9  210    9     CONCORDIA AERO                                      
04062023    11  21.2   89  1020.2  230    7     CONCORDIA AERO                                      
04062023    12  20.6   96  1020.0  200    6     CONCORDIA AERO                                      
04062023    13  19.8   98  1019.8    0    0     CONCORDIA AERO                                      
04062023    14  19.7   97  1019.5    0    0     CONCORDIA AERO                                      
04062023    15  19.6   98  1019.6  200   17     CONCORDIA AERO                                      
04062023    16  20.0   98  1019.7  200    9     CONCORDIA AERO                                      
04062023    17  20.2   96  1020.3  180   13     CONCORDIA AERO                                      
04062023    18  20.1   95  1020.7  150    7     CONCORDIA AERO                                      
04062023    19  19.6   92  1021.5  180   15     CONCORDIA AERO                                      
04062023    20  19.2   92  1021.8  170   13     CONCORDIA AERO                                      
04062023    21  18.8   90  1023.0  200   11     CONCORDIA AERO                                      
04062023    22  18.0   92  1022.9  200   11     CONCORDIA AERO                                      
04062023    23  17.0   96  1023.1  180    7     CONCORDIA AERO                                      
04062023     0  13.4   91  1015.2  330    9     CORDOBA AERO                                        
04062023     1  13.4   91  1015.1  330    7     CORDOBA AERO                                        
04062023     2  12.9   92  1015.6  240    4     CORDOBA AERO                                        
