time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.008471;0.2063;0.2140;0.0459;0.301
0.009352;0.2243;0.1748;0.0906;0.298
0.009853;0.2301;0.1241;0.1298;0.292
0.010291;0.2379;0.0739;0.1636;0.298
0.010594;0.2784;0.0385;0.2351;0.366
0.010890;0.3084;-0.0107;0.2940;0.426
0.011332;0.3302;-0.0498;0.3330;0.472
0.011667;0.3487;-0.1005;0.3642;0.514
0.011979;0.3495;-0.1410;0.4068;0.555
0.012488;0.3326;-0.1788;0.4368;0.577
0.012850;0.2955;-0.1899;0.4401;0.563
0.013364;0.2765;-0.2127;0.4239;0.549
0.013756;0.2424;-0.2090;0.3979;0.511
0.014125;0.2126;-0.2004;0.3528;0.458
0.014509;0.2041;-0.1870;0.3005;0.409
0.014876;0.1861;-0.1714;0.2436;0.351
0.015170;0.1638;-0.1465;0.2040;0.300
0.015440;0.1350;-0.1315;0.1385;0.234
0.015704;0.1023;-0.0883;0.0808;0.157
0.021412;0.0731;-0.0670;0.0452;0.109
0.025622;0.0283;-0.0510;0.0008;0.058
0.030392;-0.0175;-0.0403;-0.0119;0.046
0.041810;-0.0431;-0.0277;-0.0454;0.068
0.042449;-0.0700;-0.0156;-0.0615;0.094
0.045469;-0.0814;0.0033;-0.0723;0.109
0.050424;-0.1207;0.0267;-0.0683;0.141
0.055926;-0.1328;0.0306;-0.0807;0.158
0.060441;-0.1636;0.0438;-0.0784;0.187
0.068256;-0.1845;0.0784;-0.0903;0.220
0.073719;-0.2173;0.1130;-0.1045;0.266
0.075778;-0.2620;0.1307;-0.1498;0.329
0.080343;-0.2853;0.1916;-0.1760;0.386
0.085365;-0.3110;0.2287;-0.1856;0.428
0.091171;-0.3274;0.2277;-0.1933;0.443
0.096066;-0.3417;0.2462;-0.2037;0.468
0.100574;-0.3420;0.2268;-0.1859;0.450
0.106563;-0.3810;0.2149;-0.1686;0.469
0.111236;-0.4037;0.1914;-0.1733;0.479
0.116683;-0.4196;0.1802;-0.1641;0.485
0.121536;-0.4360;0.1479;-0.1482;0.484
0.126801;-0.4383;0.1326;-0.1422;0.479
0.133385;-0.4505;0.1199;-0.1318;0.484
0.135559;-0.4344;0.1170;-0.1144;0.464
0.141731;-0.4136;0.1382;-0.1116;0.450
0.146958;-0.4049;0.1498;-0.0848;0.440
0.151335;-0.3651;0.1564;-0.0556;0.401
0.156563;-0.3324;0.1797;-0.0167;0.378
0.161228;-0.3211;0.2098;0.0179;0.384
0.174590;-0.3095;0.2274;0.0818;0.393
0.175556;-0.3026;0.2228;0.1320;0.398
0.175950;-0.2908;0.2295;0.1401;0.396
0.181258;-0.2742;0.2115;0.1492;0.377
0.186937;-0.2336;0.1927;0.1235;0.327
0.194803;-0.1905;0.1827;0.0440;0.268
0.197256;-0.1400;0.1600;-0.0441;0.217
0.200898;-0.0866;0.1607;-0.1600;0.243
0.206401;-0.0540;0.1634;-0.2967;0.343
0.211790;0.0011;0.2016;-0.4399;0.484
0.216480;0.0598;0.2708;-0.5206;0.590
0.221287;0.0938;0.3399;-0.6249;0.718
0.226199;0.1007;0.4280;-0.7005;0.827
0.230872;0.0811;0.4851;-0.7353;0.885
0.235843;0.0543;0.5375;-0.7464;0.921
0.241754;-0.0014;0.5638;-0.7051;0.903
0.246813;-0.1771;0.5568;-0.5755;0.820
0.251314;-1.2995;0.3632;0.0587;1.351
0.256649;-2.5570;0.3875;1.7617;3.129
0.261510;-1.7864;0.4875;1.9633;2.699
0.275926;-1.7009;0.7136;1.9069;2.653
0.277234;-2.3107;0.8406;2.6122;3.587
0.277835;-2.6618;1.0196;1.8146;3.379
0.283856;-2.7934;1.2559;0.6208;3.125
0.286833;-2.7105;1.5165;0.1120;3.108
0.292514;-2.4302;1.7677;0.0529;3.006
0.297214;-2.0842;1.8972;-0.0762;2.819
0.301294;-1.7297;1.9240;-0.1505;2.592
0.305990;-1.3322;1.8506;-0.1220;2.284
0.312015;-1.0088;1.7297;0.1359;2.007
0.317425;-0.7402;1.5850;0.3505;1.784
0.321230;-0.4970;1.4140;0.5150;1.585
0.327254;-0.3838;1.2334;0.6104;1.429
0.331879;-0.4238;1.0693;0.6227;1.308
0.336750;-0.5113;0.9790;0.6549;1.284
0.342462;-0.6706;0.9145;0.7121;1.339
0.347123;-0.8615;0.8636;0.7894;1.453
0.351687;-1.0416;0.8789;0.9183;1.643
0.356787;-1.2193;0.9245;1.0459;1.853
0.362069;-1.4313;0.9548;1.0981;2.041
0.366903;-1.5608;0.9774;1.0150;2.103
0.372152;-1.6150;1.0092;1.0330;2.166
0.376713;-1.6828;0.9119;1.0797;2.198
0.384848;-1.8600;0.6789;1.1523;2.291
0.387899;-1.9372;0.5162;0.9248;2.208
0.393407;-2.0215;0.3953;0.9309;2.260
0.397587;-1.9355;0.3878;1.0602;2.241
0.405365;-1.8143;0.4432;1.4996;2.395
0.407835;-1.6371;0.5009;1.7808;2.470
0.413699;-1.4142;0.5628;2.0673;2.567
0.418787;-1.1977;0.6501;1.9294;2.362
0.423687;-1.0322;0.7863;1.6981;2.137
0.427497;-0.8548;0.8661;1.5625;1.980
0.431946;-0.7780;0.8103;1.7049;2.042
0.436876;-0.6827;0.5615;1.9170;2.111
0.442833;-0.5257;0.3688;1.7968;1.908
0.447876;-0.3952;0.1867;1.6799;1.736
0.452255;-0.3123;0.0847;1.6018;1.634
0.457564;-0.1908;-0.0259;1.6678;1.679
0.463319;-0.0931;-0.1305;1.5689;1.577
0.468245;0.0099;-0.2529;1.4990;1.520
0.472999;0.0968;-0.3547;1.4772;1.522
0.478243;0.1772;-0.5054;1.5201;1.612
0.484709;0.2822;-0.7264;1.6324;1.809
0.488725;0.3996;-0.9719;1.6129;1.925
0.493540;0.4037;-1.0886;1.0784;1.585
0.498629;0.3698;-1.1672;0.6845;1.403
0.506243;0.3819;-1.2075;0.4258;1.336
0.515074;0.3996;-1.2407;0.1103;1.308
0.515970;0.4108;-1.2829;-0.1621;1.357
0.526313;0.3958;-1.3221;-0.2915;1.411
0.527483;0.3608;-1.2909;-0.3669;1.390
0.528246;0.3149;-1.2466;-0.4727;1.370
0.532472;0.2934;-1.1961;-0.5444;1.347
0.537783;0.2266;-1.2256;-0.6447;1.403
0.543555;0.1240;-1.2822;-0.7259;1.479
0.548867;-0.0078;-1.3610;-0.7212;1.540
0.553399;-0.0160;-1.4284;-0.7147;1.597
0.559021;0.0540;-1.4604;-0.6970;1.619
0.563763;0.1116;-1.5623;-0.7307;1.728
0.568362;0.1356;-1.7053;-0.7849;1.882
0.574022;0.1959;-1.8198;-0.8025;1.998
0.578641;0.2925;-1.9130;-0.8053;2.096
0.584737;0.3252;-2.0306;-0.7861;2.202
0.589916;0.3491;-2.0958;-0.7261;2.245
0.592613;0.3999;-2.1255;-0.5819;2.240
0.597555;0.4394;-2.1631;-0.4922;2.262
0.602378;0.4607;-2.1872;-0.4135;2.273
0.607858;0.4520;-2.2075;-0.3070;2.274
0.613145;0.4063;-2.2100;-0.2226;2.258
0.622517;0.3855;-2.1972;-0.1287;2.234
0.624156;0.3845;-2.1622;0.0209;2.196
0.631601;0.5317;-2.0551;0.7341;2.246
0.633238;1.0449;-1.6988;3.2509;3.814
0.652260;1.7886;-1.0375;5.6107;5.980
0.653344;2.4524;-0.5040;4.5787;5.218
0.653816;2.6224;-0.5524;2.0586;3.379
0.654240;2.4903;-0.9347;-0.0904;2.662
0.658093;2.3492;-1.3109;-1.0732;2.896
0.663047;2.2292;-1.5912;-1.2849;3.025
0.669844;2.0415;-1.7202;-1.0869;2.882
0.673065;1.7375;-1.7314;-0.8652;2.601
0.677680;1.4782;-1.7351;-0.5117;2.336
0.683832;1.4271;-1.7462;-0.0156;2.255
0.687853;1.3155;-1.7197;0.1559;2.171
0.692770;1.2220;-1.6919;0.0278;2.087
0.698388;1.1184;-1.7324;-0.2079;2.072
0.704002;1.1128;-1.8339;-0.3284;2.170
0.708356;1.1029;-1.8889;-0.3604;2.217
0.714132;1.2508;-1.9426;-0.3974;2.344
0.722361;1.5546;-1.9711;-0.5092;2.562
0.731818;1.9952;-1.8907;-0.6051;2.814
0.732714;2.4440;-1.7949;-0.6083;3.093
0.733461;2.8344;-1.6744;-0.4899;3.328
0.740682;3.1690;-1.6085;-0.1919;3.559
0.743785;3.4356;-1.5812;0.3112;3.795
0.749924;3.5765;-1.5235;0.5136;3.921
0.753553;3.6519;-1.5123;0.5452;3.990
0.759065;3.6720;-1.4903;0.4255;3.986
0.763812;3.7353;-1.5317;0.3340;4.051
0.769118;3.5483;-1.6412;0.1363;3.912
0.774619;3.0902;-1.8091;0.0092;3.581
0.778590;2.7181;-2.0114;-0.0642;3.382
0.784278;2.4246;-2.1356;-0.1606;3.235
0.788266;2.1956;-2.1243;-0.2563;3.066
0.793258;1.9969;-1.9584;-0.3731;2.822
0.800674;1.9401;-1.8123;-0.4728;2.697
0.804940;1.9243;-1.6287;-0.5844;2.588
0.809734;1.9868;-1.4574;-0.6697;2.553
0.814327;2.1394;-1.3176;-0.6833;2.604
0.819321;2.2663;-1.2066;-0.7284;2.669
0.823749;2.4630;-1.0885;-0.5727;2.753
0.830065;2.6623;-1.1259;-0.5204;2.937
0.838870;2.6752;-1.1584;-0.4230;2.946
0.848510;2.8660;-1.1862;-0.0625;3.102
0.849329;2.8209;-1.1568;0.0778;3.050
0.849959;2.5281;-1.1010;0.0548;2.758
0.857040;1.9529;-1.0349;0.0302;2.210
0.858516;1.4890;-0.9868;0.1831;1.796
0.863788;1.1256;-0.9542;0.3939;1.527
0.870229;0.9889;-0.8919;0.5602;1.445
0.874657;1.0590;-0.7810;0.6132;1.452
0.880580;1.0350;-0.5994;0.5766;1.328
0.885579;1.0125;-0.8139;0.7014;1.476
0.889357;1.1459;-0.9433;0.9089;1.740
0.895241;1.3079;-0.9570;1.1115;1.965
0.900936;1.5600;-0.9581;1.3095;2.251
0.903697;1.7755;-0.9325;1.3647;2.426
0.909767;2.0510;-0.7656;1.3614;2.578
0.914866;2.4835;-0.4773;1.2859;2.837
0.920883;2.9331;-0.1633;1.0371;3.115
0.924835;3.4060;0.0499;0.8702;3.516
0.929700;3.8988;0.1744;0.7890;3.982
0.939606;4.3956;0.2368;0.8048;4.475
0.944675;4.7873;0.2682;0.8072;4.862
0.945905;5.1056;0.2735;0.8317;5.180
0.948637;5.3226;0.2886;0.8036;5.391
0.958171;5.1091;0.4047;0.8660;5.198
0.959450;4.8796;0.6023;1.1243;5.044
0.963761;4.5641;0.5867;1.7751;4.932
0.969972;4.1758;0.5282;2.2470;4.771
0.974288;3.6731;0.4671;2.5674;4.506
0.980084;3.1322;0.4079;2.9022;4.289
0.984891;2.6030;0.3886;3.2382;4.173
0.989588;2.1468;0.3299;3.7486;4.332
0.994710;1.5934;-0.0868;3.8668;4.183
1.000978;0.9163;0.1106;4.3535;4.450
1.004304;1.5545;0.7844;4.8836;5.185
1.010028;1.5127;0.7294;4.7809;5.067
1.015144;1.3220;0.6042;4.4820;4.712
1.019751;1.3322;0.5413;4.2559;4.492
1.025390;1.3967;0.5581;4.1605;4.424
1.030115;1.5319;0.6382;4.0541;4.381
1.034577;1.6857;0.7431;3.7476;4.176
1.039904;1.7252;0.8324;3.3003;3.816
1.044891;1.5914;0.8490;2.9625;3.468
1.055033;1.3660;0.8389;2.7475;3.181
1.056923;1.0417;0.8623;2.5829;2.916
1.065084;0.6471;0.8858;2.4707;2.703
1.066636;0.2849;0.9142;2.4206;2.603
1.076050;-0.0738;0.9761;2.3703;2.564
1.077425;-0.4129;1.0166;2.3462;2.590
1.080741;-0.6946;1.0405;2.3006;2.619
1.085478;-0.9054;1.0694;2.2526;2.653
1.092251;-1.1086;1.0772;2.2528;2.732
1.094535;-1.2644;1.0733;2.2557;2.800
1.100051;-1.3593;1.0888;2.2450;2.841
1.105380;-1.3532;1.1239;2.1874;2.807
1.109761;-1.2775;1.1304;2.0998;2.705
1.115316;-1.1487;1.1132;2.0231;2.579
1.120159;-1.0046;1.0841;1.9479;2.445
1.126251;-0.8757;1.0526;1.9032;2.345
1.130357;-0.8191;1.0041;1.8388;2.250
1.134582;-0.8464;0.9458;1.7861;2.191
1.139797;-0.9286;0.8873;1.6806;2.115
1.144731;-1.0873;0.8430;1.5606;2.080
1.154499;-1.2914;0.8272;1.4095;2.083
1.155830;-1.4737;0.8543;1.2056;2.087
1.164867;-1.6175;0.9149;0.9966;2.109
1.166147;-1.6895;0.9494;0.8109;2.101
1.172480;-1.6922;0.9578;0.7034;2.068
1.174963;-1.6327;0.9259;0.5879;1.967
1.179429;-1.6016;0.8824;0.4138;1.875
1.184312;-1.5505;0.8323;0.2505;1.778
1.189611;-1.4649;0.7516;0.1144;1.650
1.194740;-1.2940;0.6739;-0.0378;1.459
1.200583;-1.0825;0.5777;-0.1634;1.238
1.205472;-0.9231;0.5323;-0.2315;1.090
1.210543;-0.8727;0.5303;-0.2925;1.062
1.216883;-0.9405;0.5575;-0.3395;1.145
1.221266;-1.1145;0.5970;-0.3347;1.308
1.225272;-1.4021;0.6561;-0.2304;1.565
1.229479;-1.7725;0.7110;-0.0840;1.912
1.234207;-2.1761;0.7353;0.0308;2.297
1.239843;-2.6085;0.7051;0.0593;2.703
1.245230;-2.9573;0.6110;0.1261;3.022
1.249806;-3.1461;0.5510;0.1859;3.199
1.254892;-3.2301;0.4915;0.1647;3.271
1.260805;-3.2424;0.4302;0.1224;3.273
1.266915;-3.1946;0.3645;0.0825;3.216
1.269736;-3.0720;0.3064;0.0377;3.087
1.275648;-2.8813;0.2224;0.0403;2.890
1.280608;-2.6698;0.0979;0.0685;2.672
1.287408;-2.4486;-0.0219;0.0960;2.451
1.289274;-2.2914;-0.1012;0.1228;2.297
1.301815;-2.2383;-0.1378;0.1583;2.248
1.303069;-2.2916;-0.1509;0.2050;2.306
1.309722;-2.4107;-0.1693;0.2508;2.430
1.310919;-2.5742;-0.2073;0.2864;2.598
1.314666;-2.7586;-0.2578;0.2570;2.782
1.324012;-2.9162;-0.3109;0.2102;2.940
1.325403;-3.0163;-0.3355;0.1508;3.039
1.330063;-3.0709;-0.3316;0.0834;3.090
1.334875;-3.0707;-0.3423;0.0415;3.090
1.339856;-3.0421;-0.3652;-0.0063;3.064
1.345093;-3.0403;-0.4168;-0.0504;3.069
1.350259;-3.0921;-0.4516;-0.1439;3.128
1.355049;-3.1739;-0.4718;-0.2348;3.217
1.360349;-3.2263;-0.4938;-0.2136;3.271
1.364738;-3.2258;-0.5057;-0.1233;3.268
1.370679;-3.2013;-0.5028;-0.0066;3.241
1.380285;-3.1793;-0.5259;0.0698;3.223
1.383087;-3.2170;-0.5558;0.1085;3.267
1.387691;-3.2479;-0.6068;0.2004;3.310
1.390205;-3.2574;-0.5951;0.3312;3.328
1.394986;-3.2457;-0.5998;0.4416;3.330
1.401141;-3.2297;-0.6139;0.5344;3.331
1.405800;-3.2069;-0.5966;0.5834;3.314
1.410596;-3.1937;-0.5960;0.5936;3.303
1.416337;-3.2117;-0.5761;0.5987;3.317
1.420421;-3.1819;-0.5490;0.6130;3.287
1.425394;-3.1040;-0.5267;0.6245;3.210
1.430931;-3.0114;-0.5212;0.6382;3.122
1.434920;-2.9206;-0.5255;0.6375;3.035
1.441370;-2.8530;-0.5563;0.6417;2.977
1.446435;-2.7679;-0.5825;0.6196;2.896
1.450819;-2.7180;-0.6256;0.5858;2.850
1.454847;-2.6673;-0.6736;0.5474;2.805
1.460784;-2.6398;-0.7337;0.5045;2.786
1.464934;-2.6166;-0.7461;0.4284;2.754
1.470315;-2.6145;-0.7609;0.2996;2.739
1.474942;-2.6267;-0.7804;0.1565;2.745
1.480068;-2.6175;-0.8021;0.0319;2.738
1.487304;-2.6110;-0.8140;-0.0884;2.736
1.495690;-2.5740;-0.8113;-0.1975;2.706
1.496842;-2.5522;-0.8106;-0.2910;2.694
1.505591;-2.5480;-0.7927;-0.3498;2.691
1.506794;-2.5639;-0.7553;-0.4220;2.706
1.510342;-2.5881;-0.7295;-0.4934;2.734
1.515271;-2.5725;-0.6744;-0.5453;2.715
1.520662;-2.5507;-0.6214;-0.5466;2.682
1.525552;-2.5153;-0.5919;-0.4878;2.630
1.530761;-2.4805;-0.5621;-0.4262;2.579
1.536592;-2.4412;-0.5560;-0.3328;2.526
1.540215;-2.3998;-0.5689;-0.2312;2.477
1.546379;-2.3896;-0.5769;-0.1595;2.463
1.550847;-2.4010;-0.5871;-0.0671;2.473
1.555779;-2.4053;-0.5901;-0.0232;2.477
1.561160;-2.4076;-0.5977;0.0251;2.481
1.567342;-2.3912;-0.6004;0.0732;2.467
1.571310;-2.3729;-0.6245;0.1047;2.456
1.576138;-2.3528;-0.6317;0.0622;2.437
1.580474;-2.3404;-0.6125;-0.0327;2.419
1.586094;-2.3502;-0.5787;-0.1227;2.423
1.590271;-2.3365;-0.5353;-0.2249;2.408
1.596110;-2.3187;-0.4678;-0.3107;2.386
1.603598;-2.2801;-0.4216;-0.3828;2.350
1.607122;-2.2305;-0.3776;-0.4509;2.307
1.611178;-2.1506;-0.3595;-0.4816;2.233
1.618518;-2.0452;-0.3532;-0.5204;2.140
1.620584;-1.9478;-0.3442;-0.5172;2.044
1.626269;-1.8511;-0.3229;-0.5055;1.946
1.630808;-1.7526;-0.2918;-0.4924;1.844
1.636060;-1.6642;-0.2604;-0.4541;1.745
1.642195;-1.5834;-0.2361;-0.4264;1.657
1.646335;-1.4957;-0.2212;-0.3780;1.558
1.650696;-1.4462;-0.2014;-0.3544;1.503
1.656200;-1.4159;-0.1791;-0.2931;1.457
1.661483;-1.4093;-0.1425;-0.2348;1.436
1.666355;-1.4124;-0.1058;-0.1962;1.430
1.671355;-1.4298;-0.0810;-0.1629;1.441
1.675818;-1.4545;-0.0370;-0.1346;1.461
1.680571;-1.4961;-0.0120;-0.0972;1.499
1.686729;-1.5164;0.0251;-0.0457;1.517
1.691641;-1.5203;0.0528;0.0055;1.521
1.696476;-1.5341;0.0781;0.0352;1.536
1.702853;-1.5290;0.1036;0.0600;1.534
1.708054;-1.5194;0.1101;0.1039;1.527
1.711831;-1.5172;0.1070;0.1596;1.529
1.718131;-1.5463;0.0922;0.2297;1.566
1.720775;-1.5923;0.0512;0.2901;1.619
1.726376;-1.6217;0.0246;0.3433;1.658
1.731164;-1.6534;0.0436;0.3750;1.696
1.735859;-1.7067;0.0747;0.3919;1.753
1.741866;-1.7431;0.1418;0.4155;1.798
1.747646;-1.7795;0.2233;0.4434;1.847
1.751898;-1.8040;0.2809;0.4729;1.886
1.756224;-1.7904;0.3388;0.5326;1.898
1.762436;-1.7222;0.3899;0.6222;1.872
1.766184;-1.5948;0.4149;0.7489;1.810
1.771797;-1.4297;0.4284;0.8649;1.725
1.776546;-1.2410;0.4254;0.9969;1.648
1.781253;-1.0452;0.3938;1.1522;1.605
1.787305;-0.9115;0.3479;1.3239;1.645
1.791896;-0.8129;0.2946;1.4599;1.697
1.797355;-0.7637;0.2650;1.6322;1.821
1.801338;-0.7850;0.2254;1.7933;1.971
1.806297;-0.8768;0.2044;1.9220;2.122
1.811562;-1.0388;0.1994;2.0139;2.275
1.818250;-1.2304;0.2225;2.0762;2.424
1.821343;-1.4710;0.2473;2.0996;2.576
1.830091;-1.7440;0.2955;2.0578;2.714
1.831847;-2.0116;0.3862;1.9579;2.834
1.835964;-2.2601;0.5077;1.8308;2.953
1.841760;-2.4303;0.6148;1.6740;3.014
1.846411;-2.5037;0.6600;1.5375;3.011
1.851772;-2.4451;0.6839;1.3855;2.892
1.856564;-2.3098;0.6463;1.1840;2.675
1.861491;-2.0860;0.6118;0.9830;2.386
1.866387;-1.7954;0.5566;0.7965;2.042
1.872310;-1.5120;0.4808;0.6527;1.716
1.877093;-1.1974;0.4060;0.5490;1.378
1.883029;-0.9228;0.3440;0.4876;1.099
1.887176;-0.7071;0.2852;0.4921;0.907
1.891861;-0.5305;0.2198;0.5337;0.784
1.897233;-0.4091;0.1787;0.6270;0.770
1.902351;-0.3565;0.1257;0.7530;0.843
1.906405;-0.4080;0.0798;0.8639;0.959
1.911577;-0.5154;0.0503;1.0126;1.137
1.919562;-0.6880;0.0491;1.1587;1.349
1.928291;-0.8662;0.1096;1.2451;1.521
1.929132;-1.0382;0.2054;1.3009;1.677
1.937910;-1.1756;0.3127;1.2735;1.761
1.939498;-1.2598;0.4459;1.2037;1.799
1.942984;-1.2864;0.5932;1.0964;1.791
1.947303;-1.1987;0.6950;0.9870;1.701
1.952197;-0.9782;0.7421;0.8899;1.516
1.956521;-0.6611;0.7371;0.8046;1.276
1.961476;-0.2980;0.6968;0.7359;1.056
1.966754;0.1019;0.6453;0.6981;0.956
1.972722;0.4313;0.5871;0.6812;0.997
1.977606;0.7479;0.5173;0.7166;1.158
1.982996;0.9927;0.4287;0.7777;1.332
1.986952;1.1781;0.3543;0.8553;1.498
1.992072;1.2808;0.2798;0.9468;1.617
1.997434;1.3205;0.2382;1.0714;1.717
2.002511;1.2904;0.2105;1.2389;1.801
2.007181;1.2024;0.2106;1.4089;1.864
2.012884;1.0758;0.2529;1.5388;1.894
2.017227;0.9365;0.3254;1.6168;1.897
2.022372;0.8060;0.4137;1.6337;1.868
2.027316;0.7126;0.5012;1.6397;1.857
2.035076;0.6682;0.5401;1.6156;1.830
2.041475;0.6699;0.5784;1.5495;1.784
2.042827;0.7078;0.6114;1.4749;1.746
2.047178;0.7887;0.6609;1.3631;1.708
2.052107;0.9267;0.6768;1.2306;1.683
2.056808;1.0950;0.6879;1.0894;1.691
2.061751;1.2960;0.6920;0.9345;1.741
2.071500;1.4696;0.7012;0.7895;1.810
2.072644;1.6711;0.7226;0.6923;1.948
2.077773;1.8384;0.7396;0.6259;2.078
2.087589;1.9933;0.7592;0.6118;2.219
2.088711;2.1263;0.7527;0.6689;2.353
2.092311;2.2424;0.7249;0.7901;2.486
2.096913;2.3297;0.7186;0.9397;2.613
2.102163;2.3859;0.7051;1.0869;2.715
2.107388;2.4206;0.7129;1.2204;2.803
2.112855;2.4819;0.7514;1.3308;2.915
2.117292;2.5314;0.7894;1.4065;3.002
2.122174;2.5739;0.8507;1.5121;3.104
2.127631;2.6286;0.8971;1.5402;3.176
2.133562;2.6884;0.8997;1.5937;3.252
2.137237;2.7870;0.8489;1.6344;3.341
2.142694;2.9100;0.7903;1.6741;3.449
2.147759;3.0623;0.6998;1.7396;3.591
2.155452;3.2058;0.6180;1.7686;3.713
2.157173;3.3284;0.5114;1.7588;3.799
2.162621;3.3947;0.3919;1.7486;3.839
2.169002;3.4190;0.2811;1.7448;3.849
2.173009;3.4302;0.1886;1.7427;3.852
2.177970;3.4090;0.0975;1.7374;3.827
2.182711;3.3603;0.0032;1.7147;3.773
2.187292;3.2912;-0.1063;1.6365;3.677
2.192287;3.1682;-0.1711;1.5336;3.524
2.197950;2.9865;-0.2127;1.4250;3.316
2.202652;2.7674;-0.2092;1.3319;3.078
2.207594;2.5991;-0.2108;1.2492;2.891
2.213232;2.4480;-0.2199;1.1506;2.714
2.217542;2.3403;-0.2362;1.0599;2.580
2.222593;2.2521;-0.2646;0.9743;2.468
2.228000;2.1930;-0.2978;0.9441;2.406
2.232564;2.1294;-0.3598;0.9382;2.355
2.237646;2.0639;-0.4362;0.9444;2.311
2.242972;1.9963;-0.5365;0.9798;2.288
2.249572;1.9482;-0.6680;1.0253;2.301
2.253511;1.8886;-0.7805;1.0522;2.299
2.258326;1.8439;-0.9170;1.0726;2.322
2.264155;1.7831;-1.0584;1.0601;2.329
2.271180;1.7087;-1.2048;1.0675;2.348
2.278896;1.5465;-1.3154;0.9895;2.259
2.283778;1.3440;-1.4426;0.8016;2.128
2.285673;1.1371;-1.5933;0.6992;2.079
2.293755;0.9949;-1.6884;0.6846;2.076
2.295118;0.8957;-1.7520;0.6384;2.069
2.299702;0.8320;-1.7481;0.5203;2.005
2.303368;0.7821;-1.7700;0.4018;1.976
2.307814;0.7771;-1.8178;0.2639;1.994
2.313080;0.7978;-1.8673;0.1181;2.034
2.319000;0.8225;-1.8947;-0.0140;2.066
2.323013;0.8537;-1.9215;-0.1374;2.107
2.328242;0.8940;-1.9191;-0.2473;2.132
2.333037;0.9435;-1.8970;-0.3583;2.149
2.338793;0.9878;-1.8674;-0.4418;2.158
2.344067;1.0056;-1.8518;-0.5385;2.175
2.349524;1.0398;-1.8309;-0.5937;2.188
2.353326;1.0739;-1.8096;-0.6241;2.195
2.359165;1.1247;-1.7905;-0.5963;2.197
2.364150;1.1825;-1.7853;-0.5533;2.212
2.368997;1.2095;-1.8207;-0.4833;2.239
2.373291;1.2271;-1.8726;-0.3737;2.270
2.378507;1.2164;-1.9078;-0.2219;2.273
2.386969;1.1704;-1.9192;-0.1233;2.251
2.396353;1.1127;-1.9354;-0.0632;2.233
2.397067;1.0579;-1.9277;-0.0081;2.199
2.405044;1.0031;-1.9106;0.0423;2.158
2.406496;0.9627;-1.8935;0.0908;2.126
2.408734;0.9269;-1.8764;0.0538;2.094
2.413816;0.9193;-1.8545;-0.0231;2.070
2.418172;0.9160;-1.8395;-0.1403;2.060
2.423169;0.9505;-1.8077;-0.2309;2.055
2.428726;0.9915;-1.7565;-0.3093;2.041
2.434229;1.0582;-1.7027;-0.3922;2.043
2.439425;1.1221;-1.6465;-0.5060;2.056
2.444211;1.1498;-1.6332;-0.5936;2.084
2.449591;1.1773;-1.6247;-0.6911;2.122
2.453679;1.1620;-1.6471;-0.7270;2.143
2.458382;1.1228;-1.6814;-0.7518;2.157
2.465999;1.0696;-1.7060;-0.7464;2.147
2.468469;1.0359;-1.7329;-0.7661;2.159
2.473947;1.0099;-1.7527;-0.7582;2.160
2.478594;0.9725;-1.7867;-0.7252;2.160
2.483761;0.9571;-1.7610;-0.7028;2.124
2.489122;0.9255;-1.7352;-0.6790;2.081
2.494449;0.9109;-1.7072;-0.6657;2.046
2.503585;0.9182;-1.6958;-0.6533;2.036
2.513037;0.9352;-1.7036;-0.6394;2.046
2.513833;0.9762;-1.7016;-0.6121;2.055
2.514459;1.0003;-1.6996;-0.6023;2.062
2.526186;1.0577;-1.7021;-0.5836;2.087
2.527320;1.0838;-1.7140;-0.5825;2.110
2.529174;1.1286;-1.7520;-0.5438;2.154
2.533542;1.1683;-1.7657;-0.5009;2.176
2.538417;1.2291;-1.7649;-0.4801;2.204
2.544186;1.2966;-1.7543;-0.4572;2.229
2.549290;1.3924;-1.7674;-0.4562;2.296
2.555619;1.4904;-1.7805;-0.4603;2.367
2.559038;1.5883;-1.7935;-0.4718;2.442
2.564265;1.6960;-1.7898;-0.4957;2.515
2.569075;1.7778;-1.7576;-0.5177;2.553
2.574594;1.8507;-1.7375;-0.5522;2.598
2.579534;1.9290;-1.7416;-0.5898;2.665
2.587202;1.9843;-1.7387;-0.6305;2.713
2.588810;2.0477;-1.7505;-0.6696;2.776
2.595021;2.0884;-1.7220;-0.6931;2.794
2.606951;2.1377;-1.6723;-0.7151;2.807
2.608459;2.1645;-1.6422;-0.7407;2.816
2.609306;2.1714;-1.5982;-0.7484;2.798
2.614164;2.1442;-1.5666;-0.7576;2.761
2.618933;2.0708;-1.5211;-0.7204;2.669
2.624563;1.9730;-1.4831;-0.6874;2.562
2.629280;1.8721;-1.4335;-0.6343;2.442
2.635428;1.7562;-1.3938;-0.5854;2.317
2.639240;1.6228;-1.3783;-0.5310;2.194
2.645176;1.5031;-1.3820;-0.4619;2.093
2.649795;1.3994;-1.3763;-0.3251;1.990
2.654238;1.3020;-1.3659;-0.1758;1.895
2.660037;1.1964;-1.3603;-0.0256;1.812
2.664525;1.0730;-1.3595;0.0993;1.735
2.669424;0.9697;-1.3658;0.2085;1.688
2.675329;0.8913;-1.3814;0.3788;1.687
